"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,0.803535546113714,0.858973800078469,0.852181741562273,0.906945914823276,0.9,0.874485596707819,0.977542932628798,0.828625235404896,0.788537549407115,0.805243445692884,0.873893805309734,0.938478747203579,0.890151515151515,0.870302099334357,0.902777777777778,0.883211678832117,0.95,0.992424242424242,1.03958333333333,0.911111111111111,0.973282105635047,0.918560606060606,0.93801652892562,1.0064,1.02582662563131,1.0168821077912,0.989734897870491,0.967213114754098,0.958904109589041,0.988441862988091,0.985,0.933997509339975,1.08333333333333,1.13333333333333,1.14567011674354,1.28887386517288,1.09967497291441,1.13392688307595,1.14210526315789,1.16220735785953,1.10714285714286,1.13364075772115,1.03719008264463,1.0177504976775,1.12574850299401,1.15673217333169,1.27883312807882,1.14097189877348,0.997747187790164,1.03445849054386,1.018,1.15602836879433,1.17474302496329,1.16646242157255,1.16822429906542,1.27857142857143,1.25,1.15625,1.11747271385184,1.17780711506392,1.15384615384615,1.20385232744783,1.33285714285714,1.20457394041242,1.21734123687986,1.22709163346614
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,0.933787393162393,0.863888888888889,0.860832137733142,1.01406926406926,0.988105194805195,0.917653180790428,0.921985815602837,0.934071202202006,0.934071202202006,0.911234687298517,0.934278350515464,0.921985815602837,0.879249706916764,0.863874345549738,0.875398089171975,0.875,0.892857142857143,0.920670995670996,0.921273031825796,0.904292582417582,0.921985815602837,0.90614406779661,0.921985815602837,0.923234077107143,0.880952380952381,0.873860182370821,0.840783269760543,0.92,0.947202797202797,0.967948717948718,1,1,1,1,0.985815602836879,1,0.991829180209462,0.977209065444359,0.977209065444359,0.977209065444359,0.946969696969697,0.954838709677419,0.935897435897436,0.965058236272879,0.965058236272879,0.967221781654771,0.936914794007491,0.979550379198266,0.976588969493672,1,0.99,1.03105158730159,1.07738095238095,1.1,1.26201923076923,1.12124039055047,1.10294117647059,1.0978707817374,1.07863849765258,1.05516431924883,1.07,1.1006711409396,1.16526600753296,1.1434971416007,1.1741935483871,1.24852941176471
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0930612772718,5.06221719457014,5.05898731229696,5.04484304932735,5,4.96688741721854,5,4.99121785173979,5.06937931012556,5.11329305135952,5.02286585365854,5.06224206834679,5.12353595946131,5.11369509043928,5.13727305499115,5.1,5.07000868379938,5.05025252525252,4.99429897567222,5.01941947040268,5.07485685759113,5.08438818565401,5.05891016200295,5.02205071664829
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99375,2.19498286571,2.07692307692308,2.10555555555556,2.24375,2.07142857142857,2.22929190015283,2.13571428571429,2.12604166666667,2.17142857142857,2.34615384615385,2.35714285714286,2.37155297532656,2.43196457326892,2.21428571428571,2.30765447813006,2.18179824561404
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37343434343434,1.23293203291679,1.18666666666667,1.03658536585366,1.09547123623011,1.11333333333333,1.12,1.11764705882353,1.11764705882353,1.11786687769278,1.09961190168176,1.13026819923372,1.13341968911917,1.09673120862813,1.16746037793356,1.17931034482759,1.17647058823529,1.17058823529412,1.16862745098039,1.16666666666667,1.18453865336658,1.15532734274711,1.2313769751693,1.20558413203567,1.24973276452668,1.24747644683715,1.28894523326572,1.20481927710843,1.22131147540984
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9830168436863,0.992592592592593,1.04327177688366,1.04506172839506,1.08518518518519,1.08518518518519,1.06290322580645,1.05360892257239,1.07587548638132,1.09516129032258,1.10096153846154,1.10194379973475,1.07903225806452,1.11163337250294,1.06133003500854,1.07188119547978,1.11153068415086,1.13973588020281,1.12273361227336,1.1030270781199,1.14688041360626
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",7,,,,,,,,,,,,,,,,,,,0.773014757554462,0.773014757554462,0.790513833992095,0.75,0.671768707482993,0.67324345197016,0.741666666666667,0.729950738916256,0.719254360180286,0.712857142857143,0.790988624313121,0.798518518518519,0.812859097127223,0.830882352941177,0.831516352824579,0.805882352941176,0.773333333333333,0.794281045751634,0.827900326797386,0.831666666666667,0.837966537966538,0.820526634007193,0.824159021406728,0.865,0.863177339901478,0.872689938398357,0.840978593272171,0.833333333333333,0.832196452933151,0.830882352941177,0.827520687173952,0.827142857142857,0.870714285714286,0.944285714285714,0.908150064683053,0.911858974358974,0.909500915750916,0.888658288671225,0.890119047619048,0.868571428571429,0.961165048543689,1,0.938735177865613,0.945945945945946,0.930367652895749,0.916666666666667,0.953859823125878,0.934285714285714,0.98323733009954,1.00494437577256,0.981481481481482,0.988875154511743,0.989858335389423,1.01081081081081,1.00863557858377,1.04298523206751,1.05833333333333,1.06297527904519,1.05571428571429
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,1.10491071428571,1.01157742402315,1.01451010439613,1.00732600732601,1.00991501416431,1,0.987403640316337,0.932654216185625,0.941003344481605,0.959016393442623,0.965034965034965,0.949769423558897,0.954782608695652,0.972173913043478,0.975773889636608,0.975,0.981927710843373,1.00833333333333,1.00833333333333,0.990208078335373,1.00811923583663,1.0067996789359,1.01866251944012,1.05142857142857,1.07909271148036,1.03390804597701,1.03298611111111,1.04124228004455,1.04718693284936,1.06666666666667,1.05666156202144,1.07007728894174,1.13207547169811,1.12043435340573,1.11619047619048,1.12068965517241,1.12047596006344,1.09051146253842,1.09134045077106,1.0917537746806,1.09807626245277,1.1178247734139,1.11834319526627,1.12223115630025,1.15151515151515,1.15764871205259,1.15903675970048,1.14971209213052,1.14583333333333,1.16923076923077,1.1256789156102,1.14394730733519,1.14306784660767,1.15876954586632,1.1875,1.17994100294985,1.17375886524823,1.19214586255259,1.19047619047619,1.22382611190689,1.22282608695652,1.26219108369061,1.30084226646248,1.28205128205128,1.2859375,1.29558429599866
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,2.30446927374302,2.30964180046332,2.3,2.31474480151229,2.15430520034101,2.23306490971205,2.32347474305707,2.15,2.32342007434944,2.23611111111111,2.46714285714286,2.52424117016211,2.42966751918159,2.33160621761658,2.5027356235782,2.48713550600343,2.37556561085973,2.45333333333333,2.42037037037037,2.5,2.45384615384615,2.39,2.42424242424242,2.26666666666667,2.53218998512258,2.49509774845344,2.48347432618532,2.46153846153846,2.46153846153846,2.43329397874852,2.44123048668503,2.63571428571429,2.60151915651916,2.60714285714286,2.6187134502924,2.55,2.70909090909091,2.60107142857143,2.65258215962441,2.65833333333333,2.41666666666667,2.53787878787879,2.60714285714286,2.43801652892562,2.52760739532355,2.54166666666667,2.60714285714286,2.65833333333333,2.59032258064516,2.58333333333333,2.71307506053269,2.82307940771467,2.88493150684932,2.80961043849194,2.93462493790363
"Harlem","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.80854430379747,2.81929347826087,2.84280936454849,2.81862745098039,2.81929347826087,2.81929347826087,2.81929347826087,2.83627717391304,2.81929347826087,2.9049485253351,2.83464566929134,2.85,2.88140365334432,3.03691275167785,2.92307692307692,2.91666666666667,2.89915966386555,2.93220295040315,2.90791316526611,2.89915966386555,2.995,2.88888888888889,2.95230466207268,2.87393991663073
