"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,0.910815939278937,0.910815939278937,0.931472267127917,0.879399681965882,0.824562615101289,0.848484848484849,0.875786967813016,0.85171568627451,0.861949035171073,0.870044052863436,0.876837426805373,0.83843797856049,0.850077279752705,0.842293906810036,0.863715277777778,0.85249295278365,0.88785046728972,0.888888888888889,0.824361614497529,0.839923237054385,0.857142857142857,0.894219122479222,0.895638629283489,0.918196994991653,0.893818181818182,0.850077279752705,0.88659793814433,0.886468937789579,0.87719298245614,0.882359157906603,0.926666666666667,0.903307888040712,0.90042965627498,0.913349747631806,0.939485193986247,0.940213971050975,0.918013856812933,0.946601941747573,0.963451876184264,0.93192868719611,0.935357361108313,0.946372239747634,0.95360824742268,1,1.01303272450533,1.02076780097226,1.01923076923077,1,1,0.982658959537572,0.972116511723796,1.00403632694248,1.02522185894442,1.03151862464183,1.06382978723404,1.06907894736842,1.02650757523507,1.03286384976526,1.13485280151947,1.12735849056604,1.10045871559633,1.09037786957007,1.08380281179094,1.12398246712586,1.11553784860558,1.1379179331307,1.15454545454545,1.06314432989691,1.13828751069019
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,0.776062095459461,0.774922118380062,0.761245674740484,0.759215677177681,0.757575757575758,0.749539447595557,0.748580278781621,0.738396624472574,0.746697300402068,0.739548188290658,0.739281223012966,0.75,0.742767787333855,0.738396624472574,0.739938080495356,0.74424898511502,0.746031746031746,0.743494970970644,0.747863247863248,0.749362244897959,0.758385959600329,0.76077177525371,0.757575757575758,0.761904761904762,0.76530612244898,0.764359066810892,0.76186781392506,0.757575757575758,0.756302521008403,0.756375466853408,0.75707702435813,0.754851368058915,0.755088640840446,0.752212389380531,0.758587786259542,0.763358778625954,0.759806256260157,0.767045454545455,0.780254363450109,0.778619528619529,0.785870243293824,0.783475783475784,0.786475570170337,0.787037037037037,0.799382716049383,0.807217473884141,0.806151109823426,0.80788675429727,0.817553221544185,0.833333333333333,0.827587781379846,0.820484100375902,0.80672268907563,0.822002472187886,0.811068702290076,0.852272727272727,0.865384615384615,0.852803738317757,0.859504132231405,0.87209069743071
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,0.611238868528074,0.642701525054466,0.61479328352446,0.60793275339654,0.61633281972265,0.623832503113325,0.619811463868537,0.625,0.618138866207455,0.612745098039216,0.614862350333207,0.619343891402715,0.604677634392373,0.611246943765281,0.603217158176944,0.602409638554217,0.608234560199626,0.611878052275517,0.605867346938776,0.597187202978139,0.609756097560976,0.607243744955609,0.611888111888112,0.63034188034188,0.633459633853541,0.63013698630137,0.616666666666667,0.622713633254639,0.61751497005988,0.615384615384615,0.614920224234584,0.609662576687117,0.615871866545426,0.625,0.608312838565527,0.614461084227895,0.607142857142857,0.60733384262796,0.605867346938776,0.605536332179931,0.60799073537927,0.608234560199626,0.602272727272727,0.594844939296723,0.598873074183946,0.606709493219129,0.609981599076346,0.614754098360656,0.627321153180373,0.626055178040317,0.622084686147186,0.628878333205256,0.623219373219373,0.629058441558442,0.633603460821546,0.632911392405063,0.637181409295352,0.637909648779214,0.641576897629622,0.647870036875054,0.650084793668739,0.655136268343816,0.678030303030303,0.667090216010165,0.655136268343816,0.655079051202475,0.663333333333333,0.672182006204757,0.659242247364268,0.658776765242214,0.664236199846665,0.666666666666667,0.686912509038322,0.678091397849462
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94623655913978,5,5.00504036286616,5,5,4.99561787905346,5.00841530914053,5.02092050209205,5.14829421187403,5.21086006024336,5.22307692307692,5.27777777777778,5.33333333333333,5.33333333333333,5.27517292524362,5.26315789473684,5.23825946889075,5.25490196078431,5.31505728314239,5.32512726122343,5.26315789473684,5.28268551236749,5.24118969014757,5.23519163763066,5.26935766655203,5.33333333333333,5.34048640915594,5.33751962323391,5.34203980099502,5.35607420706164,5.35318373796588,5.34303416074707,5.33926836181067
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,1.71439336850038,1.6832697253339,1.65182778038957,1.69018058690745,1.73,1.67569139780346,1.65746761599318,1.78988326848249,1.72026925953628,1.72043010752688,1.72026925953628,1.75581861958266,1.73333333333333,1.74557314988195,1.7579105976896,1.78165462210178,1.77053824362606,1.80663094891165,1.73095944609298,1.70289855072464,1.7336897294637,1.71109711600579,1.69801012192317,1.73410404624277,1.73652694610778,1.73410404624277,1.70833333333333,1.75182481751825,1.72848397551314,1.72413793103448,1.7037037037037,1.72716877139651,1.82253176930596,1.77465006816896,1.78914141414141,1.8086721139455,1.81818181818182,1.85185185185185,1.86938839590865,1.86656282450675,1.83877831827658,1.85788787483703,1.86041340761219,1.89182825484765,1.91241413150147,1.89873417721519,1.92494730078839,1.87438888523993,1.87221396731055,1.8974358974359,1.99,1.9205298013245,1.88622754491018,1.93567118267273,1.92307692307692,2.00462049346813,1.97975791990436,1.9963768115942,1.96952394426928,2.00066934404284,2.16130470675432,2.14119286391401,2.07511412919425,2.09430895114807,2.0963480963481,2.11564322747894,2.2263269048844,2.22767857142857,2.33913042691514,2.27302772818693
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78947368421053,4.68596470995272,4.67186340014848,4.66666666666667,4.67479674796748,4.67706013363029,4.78447414827169,4.8406862745098,5.0381679389313,5.13928571428571,5.10625737898465,5.03601782752902,5,5,5.03898191966994,5.06482982171799,5.10414909765559,5.18292682926829,5.19877675840979,5.18518518518519,5.2596561263438,5.18754988028731,5.16445095492109,5.12096774193548,5.08606508434095,5.09214384935947,5.13928571428571,5.11768440932575,5.1605504587156,5.14910858995138,5.21496815286624,5.10625737898465
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,0.693898962378674,0.681112452572602,0.675295655610616,0.67009635697818,0.699300699300699,0.699300699300699,0.696564885496183,0.674789152105612,0.677355037261067,0.671321160042965,0.664439495174462,0.664439495174462,0.663716814159292,0.6640625,0.663716814159292,0.676056338028169,0.677558569667078,0.673854447439353,0.670640834575261,0.670477662678337,0.663399100899101,0.663990956959707,0.662020905923345,0.657894736842105,0.658720200752823,0.667179925892602,0.667031043345448,0.665399239543726,0.657746085011186,0.662595261762757,0.656421409356112,0.662764695144213,0.650665342003854,0.650747077677225,0.654503040272978,0.646551724137931,0.653239750901227,0.66209911738367,0.664652567975831,0.664206642066421,0.661478803608948,0.665849878091257,0.663919413919414,0.669514243783244,0.674715909090909,0.674715909090909,0.675675675675676,0.680863145939807,0.669514079799394,0.676213206046142,0.676132831071938,0.673728813559322,0.675587749327747,0.675546668386764,0.690338149587178,0.693847397800299,0.705771643663739,0.704656862745098,0.68837770388158,0.683728036669213,0.686783804430863,0.697294294344595,0.712489522212909,0.699647900658239,0.713594795027502,0.719918869417958
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,0.801253357206804,0.794585969476678,0.755088640840446,0.781831720029784,0.742971887550201,0.757575757575758,0.743869327791022,0.747986191024166,0.746091989879034,0.749360395701859,0.760136079523218,0.746753246753247,0.751710654936461,0.754958173090419,0.755087594263755,0.755073147711185,0.745005079580088,0.736196319018405,0.745389920317114,0.733816378974497,0.728945250505825,0.738150738150738,0.744047619047619,0.741804817744738,0.729870750170066,0.723648279628618,0.726218817514847,0.725910064239829,0.724340698503207,0.72463768115942,0.720461095100865,0.735294117647059,0.729775280898876,0.731802294079366,0.741705491290131,0.741687702261316,0.753110674525213,0.753110674525213,0.766871165644172,0.761563210562349,0.746753246753247,0.74591280653951,0.738150738150738,0.740581919827203,0.739595792324084,0.74131196496623,0.753110674525213,0.760777683854607,0.749318801089918,0.747298229478041,0.746268656716418,0.739710789766407,0.743159203980099,0.75,0.75207468879668,0.749284775170334,0.766871165644172,0.787722445975165,0.783234546994073,0.778331257783313,0.774823426669287,0.783378746594005,0.777535809971752,0.774086739836014,0.776983094928479,0.773381294964029,0.778560250391236,0.8193315266486,0.8193315266486,0.820477130147298,0.809617271835132,0.816565469162872
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,0.919869174161897,0.907606915261856,0.891485349909241,0.866731047802994,0.911629875107695,0.92741935483871,0.870129671261922,0.890624031488254,0.895061728395062,0.884389400921659,0.932120179811334,0.923295454545455,0.883977900552486,0.898980703568002,0.920458492532129,0.927526595744681,0.919395465994962,0.899621212121212,0.895316804407714,0.882352941176471,0.849377123442809,0.845760557988526,0.857142857142857,0.855984178901775,0.853898797935652,0.877125617114646,0.863321799307958,0.878220140515222,0.883132251979443,0.884016973125884,0.872994251615543,0.86326732376644,0.872499025594387,0.876242683766569,0.891945363439885,0.895061728395062,0.895461912479741,0.896982410671221,0.915194346289753,0.88458298230834,0.884612793348084,0.894415301210263,0.90021186440678,0.903012944204824,0.882249159367346,0.865936885436565,0.887573964497041,0.873161764705882,0.8672423354957,0.876808417360807,0.882560844667144,0.90941906577243,0.926958987894875,0.916030534351145,0.910578120136944,0.893740136770121,0.895789787996417,0.898840206185567,0.922779537756826,0.943039077360722,0.954321863469421,0.945864503377351,0.982519459059877,0.992729306487696,0.984474241354975,0.975753991720875,0.96560606518868,0.96540280831959,0.970588235294118,0.981624331203574,1.00111234705228,1.01872068575125,1.01271573428985,1.03740907516453,1.01721439749609,0.994318181818182,1.00334448160535
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,0.756166856431812,0.754527162977867,0.735775016350556,0.798104956268222,0.759345794392523,0.763506338525748,0.777604976671851,0.771360759493671,0.754527162977867,0.776626740045322,0.760480651105651,0.751795416694926,0.760661998726926,0.760670731707317,0.769230769230769,0.755494505494505,0.757328745940931,0.749197383975783,0.743348982785602,0.731342836049379,0.743674108265885,0.740878629932986,0.749765698219306,0.740898205979877,0.759541984732824,0.753787878787879,0.755287009063444,0.754884547069272,0.746882793017456,0.749143835616438,0.742713004484305,0.754625121713729,0.751366120218579,0.754493850520341,0.75414086465411,0.756676557863502,0.764439411098528,0.764266304347826,0.764439411098528,0.759043927648579,0.760869565217391,0.76869322152341,0.765606714013178,0.754830917874396,0.748611369534712,0.749063670411985,0.75179582992083,0.761146496815287,0.760340632603406,0.765881881285359,0.759606791778374,0.766728624535316,0.780011916505349,0.780821078431372,0.771604938271605,0.776022304832714,0.764725105386576,0.766261568170657,0.774947193619451,0.779881619493579,0.785488958990536,0.801689372736606,0.805860805860806,0.81056265239009,0.808274943946188,0.814276684891367,0.818833162743091,0.805974242135613,0.811224489795918,0.809133134212579,0.816425120772947,0.809375,0.814240741640446,0.821006966620146,0.831702544031311
