"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Upper West Side","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06681034482759,5.95735962848515,5.99022004889976,5.80382775119617,5.77049180327869,5.75,5.69767441860465,5.69655903184429,5.77142857142857,5.78306527909177,5.74257425742574,5.77183067375887,5.94444444444444,5.79735099337748,5.93401559454191,5.80070800182258,5.82857142857143,5.77294436710987,5.78227157074302,5.75903614457831,5.84375,5.74257425742574,5.86607142857143,5.82291666666667
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,2.4875,2.235,2.39449494949495,2.39,2.52727272727273,2.66666666666667,2.33333333333333,2.44252503576538,2.36666666666667,2.55357142857143,2.58928571428571,2.45792804122986,2.5,2.595,2.72049730735988,2.73,2.58514931396287,2.54668930390492,2.57142857142857,2.67527675276753,2.51857142857143,2.49740124740125,2.55714285714286,2.66798418972332,2.46231884057971,2.84642857142857,2.84615384615385,2.88888888888889,2.93335616438356,3.05585264408794,3.24337768137724,3.31818181818182,3.24240314915271,3.21212121212121,2.74375,2.77767857142857,3.14285714285714,3.17589285714286,2.83333333333333,3.07516212710765,3.125,2.92435897435897,2.85194174757282,3.03839434606527,3.17272727272727,3.20183486238532,3.24815363655919,3.08502673796791,3.31818181818182
"East Harlem","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58823529411765,5.5718954248366,5.67824616848472,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.49019607843137,5.52287581699346,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.58823529411765,5.52287581699346,5.49019607843137,5.52287581699346,5.55555555555556,5.49019607843137,5.49019607843137,5.58823529411765,5.58823529411765,5.5718954248366
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,1.77884615384615,1.77631578947368,1.875,1.89631578947368,1.87960526315789,1.98135198135198,1.99264705882353,2.13598901098901,2,1.86298076923077,2,2,1.99777777777778,1.89076023391813,1.81636363636364,1.94444444444444,1.98454746136865,1.86842105263158,1.82420091324201,1.94117647058824,1.98744769874477,1.98863636363636,1.94117647058824,1.92489615784008,1.93437328202309,1.96944444444444,1.94736842105263,1.99285714285714,1.9,1.95,2.10315789473684,2.08101851851852,2.10315789473684,2.2,2.1412037037037,2.22341628959276,2.20555555555556,2.11111111111111,2.34377805916887,2.42361111111111,2.4375,2.4875,2.49375,2.41176470588235,2.41176470588235,2.49421296296296,2.65,2.65277777777778,2.5875,2.96296296296296,2.65277777777778
"Rogers Park","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60401002506266,1.63265306122449,1.63265306122449,1.64705882352941,1.6497461928934,1.69642857142857,1.61450501253133,1.63265306122449,1.60401002506266,1.60401002506266,1.60401002506266,1.725,1.68154761904762,1.6497461928934,1.63265306122449,1.7,1.66666666666667,1.67708333333333,1.6875,1.66666666666667,1.64119962705895,1.63265306122449,1.6498730964467,1.69642857142857
"Oak Lawn","Dallas","TX","Dallas-Fort Worth","Dallas",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10280373831776,2.04101340604408,2.07103492989707,2.10503282275711,1.95304511758691,1.93840579710145,2.18274209012464,2.23317307692308,2.15355805243446,1.94444444444444,2.28430694205584,2.17307692307692,2.27520472301685,2.24368499257058,2.15355805243446,2.15355805243446,2.2329536073964,2.33128834355828,2.22222222222222,2.15355805243446,2.16857610474632,2.02380952380952,2.06924315619968,2.22222222222222,2.13020473890039,2.19307587276656,2.19001610305958
"Rego Park","New York","NY","New York","Queens",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68928571428571,2.59259259259259,2.6,2.7741935483871,3,3,2.90649284253579,3.11764705882353,3.44444444444444,3.24742268041237,3.15,3.15217391304348,3.02101576182137,2.92832167832168,3.02656546489564,3.10792181069959,3.25,3.03237902935026
"South Loop","Chicago","IL","Chicago","Cook",8,,,2.38435742661095,2.36029815255167,2.45286506469501,2.52865064695009,2.50505311513063,2.50505311513063,2.54729235644208,2.4916820702403,2.48513734256115,2.5083179297597,2.542,2.53521126760563,2.50301810865191,2.50294214960895,2.58401194353963,2.60318069263767,2.62727272727273,2.63668430335097,2.51572327044025,2.53319919517103,2.51478743068392,2.50636355041777,2.52557319223986,2.53759959758551,2.6682816750928,2.65880503144654,2.75970425138632,2.78917910447761,2.75600739371534,2.83685577987904,2.82994454713494,2.71137078883558,2.72444925966053,2.75600739371534,2.79678068410463,2.82,2.82974910394265,2.83453237410072,2.85551330798479,2.882836677648,2.84499054820416,2.87404580152672,2.83270676691729,2.78379253544327,2.82558139534884,2.81046511627907,2.83488372093023,2.81046511627907,2.82558139534884,2.91541575031585,2.84778761061947,2.91797556719023,2.91851255687138,2.98,2.96403478125849,2.8232789436057,2.82994454713494,2.85581395348837,2.83488372093023,2.95833333333333,2.91541575031585,2.94418604651163,2.9093023255814
"Downtown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,2.71737903654132,2.52232142857143,2.7265306122449,2.82006920415225,2.73248170235836,2.64379414732593,2.25,2.49166666666667,2.25,2.23706896551724,2.21947613012252,2.22057057057057,2.21891891891892,2.23522458628842,2.21475316872806,2.25037936267071,2.26841387566447,2.24873737373737,2.28610729023384,2.61842105263158,2.81666666666667,2.91234676007005,2.78184110970996,2.8023598820059,2.69194977843427,2.75044427883513,2.75697021232736,3.01952580195258,3.05612998522895,3.07093425605536,3.05644927209046,3.24897959183673,3.34993434827354,3.34686851537446,3.43834948790467,3.33025556527154,3.32755432269995,3.33988212180747,3.0859375,3.17449449667023,3.0859375,3,2.93793103448276,2.9805510534846,2.88830656405108,3.23026315789474
"Capitol Hill","Seattle","WA","Seattle","King",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40125,2.40731761565836,2.4537037037037,2.66509433962264,2.93420976007454,3.10699588477366,3.12011173184358,3.06110835372846,3.03904628806166,2.88374913374913,2.97950819672131,2.90643825301205,2.98148148148148,2.93345008756567,2.86264677103718,3.06048387096774,3.0672268907563,3.0668016194332,3.19463378775728,3.15384615384615,3.23337226115004,3.13155281765146,3.04347826086957,3.10685483870968,3.02216690374585,3.06315789473684,3.14102564102564,3.15798922800718,3.30128205128205,3.31495532167961
