"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,1000,950,1000,1000,1040,980,895,933,950,1000,1105,1066,1052.5,1000,1025,1100,1094.5,997,1050,1084,1150,1100,1049.5,1073.5,1100,1079.5,1160.5,1095,1050,1075
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,733,722,715,795,765,750,790,850,800,895,850,850,800,795,795,795,825,795,750,750,795,775,750,775,772,775,750,750,750,775,795,770,750,750,790,795,795,795,795,800,800,826,820,819,850,850,825,850,875,900,900,897.5,870,925,950,950,925,987.5,995,900,927,925,934.5,945,969,1000,935,955,997.5
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,650,677,650,655,677,667,654,639,640,647.5,667,653.5,697.5,698.5,675,667,670,667,676,695,700,700,700,700,700,786,750,765,767.5,765,762.5,750,770,775,785,785,770,767.5,772.5,750,767.5,767.5,780,825,792.5,699,684,755,788,795,805
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4500,4500,4400,4485,4500,4500,4500,4395,4375,4390,4472.5,4600,4595,4518,4525,4600,4575,4500,4500,4500,4372.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,2047.5,1995,2000,2100,2100,2150,2100,1975,1875,1795,1750,1795,1775,1775,1797.5,1887.5,1849,1849,1750,1845,1891,1857.5,1895,1830,1780,1865,1895,1950,1950,1917,1850,1925,1895,1950,1850,1850,1899.5,1895,1985,2154.5,2225,2195,2134,2195,2150,2200,2199.5,1995,2225,2250,2095,2151.5,2236,2200,2200,2225,2200,2250,2199,2200,2300,2239,2325,2200,2197.5,2275
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,3100,3200,3000,2900,2995,3000,3000,3000,3350,3250,3250,3350,3200,3200,3200,3100,3200,3200,3200,3295,3350,3350,3300,3249,3200,3150,3095,3050,2900,2999,3200,3200,3199,3200,3295,3300,3400,3400,3350,3250,3495,3600,3595,3650,3747.5,3850,3700,3887.5,3795,3700,3400,3495,3495,3595,3625,3600,3500,3600,3650,3712.5,3745,3800,3570,3400
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,650,650,695,650,650,650,650,650,650,650,650,650,650,650,650,625,630,650,650,650,650,650,650,650,650,650,650,600,600,600,625,650,650,650,650,675,665,650,650,650,650,650,650,650,650,650,675,662.5,675,650,675,695,675,695,675,700,700,700,695,700,750
"East New York","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1400,1450,1400,1400,1405,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1500,1500,1500,1550,1550,1600,1600,1600,1600,1700,1612.5,1600,1600,1649.5,1650,1600,1625,1699,1700,1650,1650
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,960,960,969.5,997,975,950,975,925,930,925,944,944,925,950,1000,975,950,975,950,972.5,975,969,1059,1095,1044.5,1120,1047,1000,1010
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,825,847.5,835,825,800,775,735,725,675,716,740.5,775,750,750,761,788,800,776.5,745,764,775,795,798,789,795,799,778.5,788,799,800,799,815,799,799,800,799,800,825,800,805,815,825,877.5,900,897,915,905,875,859,897,880,854,850,900,1040,950,918.5,899,955,950,927.5,950
