z_hood,mean_zri
274772,1464.91891892
192689,1150.27027027
112345,914.459459459
270958,3620.67213115
27080,2962.48648649
118208,1844.58108108
270957,3349.18032787
192820,1017.72972973
194430,1914.01639344
192796,1163.82432432
268496,1730.75675676
112547,1396.7027027
111818,1184.33783784
198687,2232.80327869
41466,2248.13513514
272816,2160.90163934
267955,1055.21621622
273698,1978.44594595
32059,2316.14864865
199001,2663.03278689
272902,2194.04918033
273566,1058.59459459
267908,1228.35135135
272734,976.986486486
194737,1926.67213115
403222,2104.19672131
275473,943.608108108
25294,1877.31147541
195267,2610.50819672
275237,1035.04054054
343222,1668.90163934
270828,2723.81967213
193587,2178.96721311
274742,2448.2027027
194379,1859.14754098
35521,1250.54054054
273565,2457.75675676
267971,1007.52702703
273555,894.824324324
10957,2028.50819672
270945,1961.85245902
275456,1449.62162162
46795,2236.41891892
28380,1177.90540541
193406,1952.40983607
403223,2005.81967213
273088,1335.56756757
274514,2418.56756757
193285,1875.31147541
276246,1040.28378378
271503,923.351351351
275501,1137.33783784
268236,2161.85135135
276023,2024.09459459
276652,3079.33783784
276659,783.743243243
273527,1069.97297297
276476,1808.17567568
343205,1681.29508197
270875,3575.73770492
193640,1819.27868852
271511,1400.51351351
275467,1327.87837838
269592,1561.54054054
343217,1688.3442623
275090,1860.0
275454,1351.55405405
41131,2164.7027027
30731,2190.90540541
18131,2018.45901639
273480,2527.2972973
27182,1872.54098361
267900,1452.60810811
113886,1730.45945946
274756,2579.94594595
115003,2869.47297297
196538,2056.52459016
34213,2175.18918919
403131,1900.04918033
118987,2901.55405405
275950,1332.91891892
270318,1417.2027027
403215,1911.44262295
47651,1197.63513514
33183,2658.27027027
54300,2148.24324324
403117,1293.52702703
343228,1917.18918919
273757,1984.72131148
118872,2245.91891892
270829,3677.44262295
40215,2023.18918919
116625,2124.86486486
276215,2657.32432432
403169,1495.62162162
18071,1838.42622951
273348,1221.67567568
403553,1656.64864865
275173,1973.29508197
273973,961.027027027
45032,2053.50819672
40548,2209.51351351
13176,2003.27027027
114074,2892.7972973
275424,1990.40540541
271326,1183.7972973
13017,2322.62162162
274526,728.662162162
246678,1739.7972973
274117,1989.09836066
275471,1079.31081081
343868,1435.27027027
273167,844.351351351
403542,1671.97297297
48516,1871.67567568
273652,999.689189189
403558,1303.75675676
270886,1914.31147541
232166,1551.47297297
238122,1263.51351351
214232,1068.40540541
274415,1817.91803279
273540,1202.56756757
26352,1874.57377049
274771,1289.54054054
275115,1986.3442623
276151,1542.63513514
197044,2628.93442623
276107,1052.31081081
274552,3958.93243243
403541,1091.7972973
269566,1518.40540541
417478,1324.12162162
118920,3537.12162162
273201,1123.95945946
273860,3510.54098361
193526,1831.62295082
269568,1365.06756757
276128,1895.68852459
193189,2006.70491803
269605,1442.72972973
274056,1173.52702703
403120,1376.37837838
273794,998.351351351
275707,1930.52702703
403217,2002.27868852
229214,856.662162162
267926,1066.86486486
244707,1368.27027027
193182,1883.19672131
269072,1482.45945946
271457,884.054054054
343869,1175.06756757
273177,1236.94594595
54232,2069.32432432
124381,1608.97297297
267912,939.621621622
274346,1239.95945946
111617,1136.77027027
274765,2370.45945946
343244,1915.33783784
273197,1786.33783784
403538,1135.27027027
276446,1074.14864865
275609,1435.25675676
37309,2138.39344262
269571,1283.24324324
273496,662.864864865
31817,2506.27027027
5837,2040.09836066
274230,1061.72972973
273674,2397.28378378
270850,2608.04918033
117557,2552.7972973
27987,2329.45945946
275306,2688.51351351
403528,1359.16216216
274510,1010.54054054
118673,2248.48648649
276254,3958.39344262
275496,2282.05405405
269589,1934.52702703
199091,2070.75409836
138261,1240.40540541
48570,2917.44594595
189019,1742.59459459
274835,1561.91891892
115609,2101.68918919
271411,1964.10810811
273184,912.351351351
275492,1454.2027027
117183,2621.43243243
273040,1363.98648649
117224,1189.36486486
268581,2004.75675676
276450,3427.16216216
51906,3058.51351351
48200,2408.25675676
275620,2085.03278689
271467,3005.95945946
46736,2741.93243243
195133,3965.06557377
275127,2231.95945946
114914,1882.02702703
269588,1636.28378378
272756,3415.67567568
269228,1722.74324324
268621,1541.14864865
275083,1631.2027027
123423,1456.2027027
275470,2298.39189189
247145,1523.91891892
193974,1963.04918033
273140,3453.90540541
403545,1565.40540541
46793,1189.67567568
214976,964.5
6719,1980.47540984
274983,822.243243243
270891,3060.95081967
57348,2008.68852459
154399,2027.41891892
272874,1339.13513514
268938,1946.10810811
274724,1481.13513514
274517,3469.67567568
37739,2245.31081081
276351,2031.41891892
403556,1945.93243243
343211,1670.0
267919,1812.12162162
271406,1106.43243243
116415,3524.83783784
270903,1931.37704918
271985,1217.95945946
273035,1564.67567568
269608,1231.04054054
154795,2315.66216216
6018,1413.95945946
49994,1892.31147541
276537,1347.44594595
26134,2222.47297297
273930,2057.2027027
275845,1310.72972973
118849,1720.16216216
5568,1009.27027027
273594,2501.94594595
274680,1588.44594595
37575,2200.39189189
210763,889.027027027
47950,2692.31081081
37835,2525.68918919
194318,1931.01639344
269582,1285.10810811
271417,1335.54054054
343225,1681.81967213
343212,1666.39344262
274717,1882.91891892
417703,2387.13513514
271495,3403.35135135
403210,1690.3442623
268097,2215.10810811
241514,1361.97297297
273887,1265.13513514
28173,1528.68918919
113455,2805.40540541
268002,2129.22972973
113736,2710.51351351
268473,2536.51351351
276400,1941.67567568
269585,1486.86486486
214146,935.418918919
275084,1332.64864865
274697,1180.63513514
276253,1016.12162162
403295,1745.58108108
275552,1887.62295082
276311,1041.18918919
343210,1706.16393443
154970,1986.45945946
25160,1946.29508197
269600,2009.04054054
403146,1274.59459459
276525,1078.52702703
275500,1465.10810811
269607,1814.78378378
155633,2517.24324324
271166,928.175675676
7877,3057.16216216
275359,664.945945946
116035,1652.52702703
115729,1995.31081081
47880,3305.06756757
271282,1420.12162162
276060,2073.40983607
403184,2986.55405405
268441,2213.14864865
273766,2650.42622951
269614,1383.37837838
276646,1189.43243243
192889,1048.75675676
268588,2646.02702703
121697,2599.40540541
274159,903.067567568
271026,885.337837838
274695,2155.90540541
116206,1845.44594595
208850,1437.77027027
154775,2110.60810811
236102,1242.58108108
403529,1177.0
403167,1180.86486486
276113,1141.48648649
9632,1677.22972973
273903,2285.40983607
274834,1137.90540541
21056,3868.87837838
417708,2346.58108108
112261,1127.27027027
270848,2569.1147541
343220,1644.63934426
155506,2096.59459459
273554,904.283783784
117954,2797.68918919
396209,1713.27027027
343864,1120.77027027
403110,1862.52459016
343429,1745.66216216
276345,1942.7704918
403221,2033.13114754
196338,2042.54098361
272875,1932.7027027
275695,2166.24324324
403253,1913.56756757
240748,1374.8028169
272942,680.837837838
275067,1760.06756757
273809,1506.90540541
268118,2101.33783784
271189,880.418918919
274451,1093.74324324
245508,1534.64864865
276579,1489.54054054
403148,1287.5
113910,6664.97297297
403145,1458.41891892
250206,1875.85135135
272701,1580.51351351
274049,4893.51351351
403109,1557.90540541
217363,1245.74324324
216392,1215.21621622
270855,1905.45901639
271585,1478.64864865
27225,2047.62295082
155995,2208.83783784
269548,1103.57142857
274800,2159.27027027
403226,2069.78688525
8731,1983.52459016
272760,2468.27027027
269071,1542.7972973
268548,2451.77027027
275429,2771.08108108
133141,2755.81081081
273483,2503.60810811
274990,1200.40540541
140913,1237.75675676
111869,977.554054054
273289,3509.96721311
215792,1471.31081081
403192,2061.78378378
403557,2253.97297297
6952,2329.7972973
274758,1181.32432432
215211,1505.12162162
275001,1953.75675676
272744,1722.12162162
115836,2031.51351351
121685,2693.41891892
270764,1349.12162162
271582,1433.74324324
268020,3653.59459459
39971,2727.68852459
152379,1218.15789474
275989,1865.93243243
204284,874.0
270835,3599.42622951
118541,2325.14864865
214954,1257.97297297
273587,1210.35135135
271568,969.27027027
403543,1063.44594595
44302,1934.08196721
273877,1216.14864865
46087,5440.21621622
269584,1474.43243243
114808,2381.47297297
193476,1983.62295082
276157,2014.44594595
271409,1188.18918919
236058,1098.01351351
270797,2144.73770492
268404,1908.63513514
403206,3910.96721311
274702,2078.45945946
232843,973.986486486
274285,1880.57377049
117156,2422.33783784
274685,1322.66216216
274157,1809.97297297
267847,1755.45714286
274359,3370.63513514
271637,1072.52702703
140437,1263.62162162
210296,876.635135135
270908,1675.1147541
271510,1194.0
268076,2128.09459459
273825,2272.60810811
271175,793.972972973
272721,1362.66216216
275247,1868.86885246
21970,1887.98360656
8349,2015.16393443
275097,795.608108108
268284,1215.17567568
33597,1624.25675676
343430,1867.14864865
271583,1390.24324324
276383,1040.85135135
270881,1877.29508197
343428,1794.55405405
274804,1583.33783784
342700,1224.78947368
271427,882.27027027
403552,2493.47297297
344035,828.013513514
270145,1184.05405405
274264,1817.78378378
271201,998.445945946
268409,1564.97297297
271280,1062.67567568
270907,1681.26229508
276389,1292.98648649
117892,1902.18918919
269612,1216.78378378
274729,790.337837838
154558,1201.58108108
267830,1874.2
275126,1510.54054054
274801,1475.17567568
23117,897.540540541
273653,2061.31147541
274304,2342.17567568
272015,1462.7972973
274279,1141.90540541
270549,1040.52631579
273478,2099.08196721
276119,2581.47297297
275414,866.108108108
273987,1593.40540541
117654,3933.68918919
269615,1911.0
403547,1210.16216216
272060,1424.64912281
272001,2003.94594595
272755,2204.48648649
268134,2193.98648649
191799,3120.72972973
270815,2514.55737705
268551,2738.2027027
268489,1305.97297297
203134,845.5
268150,3060.58108108
195087,2054.54098361
273180,1107.44594595
116213,1970.94594595
269093,1391.28378378
269973,1031.9122807
251975,1163.21621622
243919,1900.98648649
623416,1742.27027027
403534,1081.97297297
210745,1336.47297297
274769,959.054054054
192895,1032.89189189
4819,2159.03278689
403257,1488.93243243
403323,1368.7027027
195088,1711.81081081
118015,2139.04054054
26254,2006.44262295
113507,1503.05405405
276331,2489.59459459
275024,3039.58108108
275405,2208.55405405
269563,1033.95714286
273892,1646.44594595
343237,2413.10810811
270964,3995.27868852
274676,1919.70491803
207384,1276.66216216
206971,1322.47297297
275448,1250.35135135
276426,930.567567568
274409,2765.06756757
272724,1094.43243243
19810,7869.67567568
271936,1522.59459459
275312,886.067567568
55477,2280.09459459
271950,932.297297297
271198,1302.98648649
15772,1839.44594595
417134,1139.93243243
273889,1283.64864865
275065,1107.22972973
27484,2212.10810811
273683,1724.83783784
38888,2141.02702703
211824,834.797297297
275979,2748.37837838
200500,617.918918919
272773,1798.7027027
27328,2233.77027027
276486,2968.55405405
155607,1325.51351351
273753,1458.24324324
275078,2997.75675676
275081,2556.12162162
403122,2712.90163934
133535,1869.64864865
271180,1301.37837838
269577,1403.27027027
275418,1332.71621622
272885,2993.14864865
274760,1265.82432432
276318,828.22972973
276653,1758.0
271171,958.148648649
271584,1558.56756757
275328,2119.28378378
343902,959.378378378
272836,2878.55405405
275941,1362.24324324
273537,1304.11267606
271573,957.054054054
274256,2750.72972973
276649,929.418918919
269597,1959.75675676
125257,1277.09459459
270087,1270.68918919
235537,2329.2972973
232117,1125.5
417497,3474.87837838
403207,3646.14754098
271832,1255.24324324
271305,2720.81081081
271089,1454.87837838
269609,1628.81081081
270946,3629.0
273964,1431.64864865
138166,1258.48648649
267851,1942.48571429
403530,1983.33783784
274371,3051.52702703
26061,2380.62295082
271173,1314.63513514
271222,869.594594595
275005,887.635135135
273738,734.378378378
270812,1689.52459016
275354,1571.98648649
274162,2209.04054054
117980,2551.83783784
275958,2047.82432432
403551,1119.33783784
268379,2058.83783784
275251,1248.28378378
276242,1236.54054054
342737,1205.71621622
238880,1514.10810811
275460,635.540540541
116646,2204.48648649
274741,2555.67567568
403203,1984.0
271071,1290.45945946
272945,1788.01351351
275981,831.797297297
121774,2413.85135135
272748,823.5
273935,1984.78378378
207108,1256.25675676
271404,1015.62162162
276021,1545.13513514
416309,1616.87837838
238116,999.648648649
273443,1370.7027027
40683,902.959459459
271069,1343.63513514
126056,1237.56756757
275782,1413.22972973
273222,1310.01351351
13094,946.135135135
268671,1722.16216216
276009,1482.25675676
269611,1365.97297297
268057,2175.16216216
270969,1963.85245902
422882,1203.32432432
275625,940.554054054
268114,3204.62162162
269586,1523.04054054
276353,1466.16216216
270853,1972.45901639
271005,1035.48648649
276606,2332.35135135
124243,991.72972973
137603,2023.40540541
270846,2646.73770492
398560,1660.68918919
232872,994.472972973
133207,2616.74324324
343427,2392.83783784
274888,1211.62162162
192099,1200.49122807
403536,1046.83783784
403330,1436.97297297
271304,1245.86486486
16927,1666.08108108
268337,4453.54054054
274750,2418.12162162
403299,2105.31081081
275751,911.013513514
201003,727.540540541
268570,2934.78378378
274385,1619.59459459
268410,2253.35135135
276569,1498.94594595
270073,752.175675676
269014,1965.7027027
268591,1358.56756757
55788,1653.2972973
7314,1260.94594595
403220,2571.26229508
274464,1795.95945946
273539,2527.33783784
274928,742.797297297
268396,3372.35135135
268219,4193.04054054
116774,2319.72972973
233290,1340.98648649
268126,1577.63513514
623424,2721.28378378
274133,839.391891892
269576,1289.67567568
268491,3606.87837838
273509,1293.14864865
33683,1394.62162162
274503,1546.37837838
274879,1141.93243243
43845,1820.08108108
273494,1839.0
29748,1873.54054054
275099,1272.02702703
273050,1133.63513514
403550,999.148648649
270953,3491.72131148
269573,1730.01351351
399418,1343.09459459
196623,1887.95081967
270885,3818.95081967
343873,1110.14864865
238911,799.486486486
415906,1090.85135135
271181,892.189189189
115122,1252.2972973
403537,1172.47297297
403555,1087.13513514
273465,826.878378378
268390,1909.12162162
244793,1835.37837838
270622,1287.52702703
28723,1091.16216216
276258,2030.35135135
269595,1320.09459459
273842,1395.66216216
276488,2388.7972973
271182,804.378378378
417113,1294.97297297
403544,1273.94594595
