,text
90,"Please, never go to this restaurant. The food ranges mediocre to downright bland, which wouldn't be so bad if it weren't so overpriced. I'm sorry, but $20 for a flatbread that's half the size of a pizza? Is it supposed to be an entrée, or a joke? $25 for a plate of spaghetti? Even if the pasta is handmade (and I don't think it is) that's crazy. The wine list is pretty ok, but this isn't the only place in Pittsburgh to drink wine, and I can guarantee you that anywhere else you choose would have better food. 

I'd probably be more forgiving of the lack-luster menu if it weren't for other factors. Because the real downfall at Pino's is the owner, Joe. This man has no tact, no grace--and judging by the food, absolutely no talent in the kitchen. I've been to Pino's a handful of times, as it's near my home, and honestly, I really wanted to like it. But each time I've been in, I'm surprised by the extent of this man's unprofessionalism. He has a very large presence and is very outgoing, but not in the way you want. You'll notice from other reviews that he does not take kindly to criticism. If you don't like something you ordered, keep your mouth shut or be prepared for a debate over the quality of the product. I've even witnessed him making racist comments about his diners--for example, I overheard him one evening saying he was glad that two ""asian"" customers had come in that night, ""because they're good tippers."" I don't know how they didn't hear him, because the dining room isn't that big, and this guy doesn't know how to keep his voice down. 

That was pretty much the last straw for me. The amount of pride Joe and his staff seem to have in their restaurant is completely disproportionate to the quality of food, and certainly their customer service. Take my advice, don't waste your time here."
2142,"How to put this gently?

While I may go back to Pittsburgh some day, I will never return to the Carnegie Museum of Art. 

It's not that I mind that its gallery seemed small compared to others I have viewed (sometimes small museums have some hidden treasures) or that one whole gallery was blown glass and I felt like I was at a bong shop on haight st. in sf. 

It comes down to the fact that a docent, while trying to explain a painting with a watchtower in it, told the students it was a watchtower ""from Auschwitz, a place where they basically fried a lot of Jews"".  Seriously? That's how she chose to describe concentration camps to a large class of what I could only guess were middle schoolers? It sounded like she described a bad breakfast joint...""oh that place? they basically just fry eggs"".

On top of all that, the description of the piece stated the watchtower was reminiscent of those that were spread throughout East and West Germany during Hitler's rule (i.e. not those in Auschwitz).

In sum, docents are a reflection of the institution in which they volunteer, and this one sucked. So, Carnegie Museums of Pittsburgh, if you're going to hire racist people to lead your tours, at least make sure they have their facts straight (or can read)."
4050,"Let's call this place for what it is: it's a racist establishment.

3~4 bartenders going around the bar and exiting as if they were on a carnival ride.

Taking care of everyone else and not once asked what I wanted

Hailed one of them for a drink. Didn't even offer a food menu.

After three sips I asked for a food menu. 

Bartender nearly tosses it across the table.

Paid for the lousy $6 beer and got up. The whole time the patron next to me was eyeing the whole situation as if expecting a bigger reaction from me.

Asked for the manager and brought it to his attention. His response: ""oh, I had no idea, I apologize"""
6864,"I would write a ""0"" review if I could. I cannot review the food. I did not get a chance to eat there. Me and my Hawaiian friend went there to grab what I heard was some great Indian food, during one of the ""Unblurred"" Friday evenings. The concierge looked at us disdainfully, and was talking about how the 3-4 empty tables we saw was reserved. No ""reserved"" signs were in sight on these tables and dude did not mention when any seating would be freed up. 

Whether or not he was prick or or a racist prick, I have no idea. He seemed more interested in getting us out of there than he was in trying to serve us. It is Garfield, so may be he has had issues with the local denizens causing trouble, who happen to look like me. Dunno. All the white people get to eat, we do not? 

With the exception of the Awesome Spak Brothers, I would not bother eating anything on Penn Avenue. Ever. I spend more time focusing on the surrounding crap than I do with actually eating."
11710,"A museum dedicated to post-Civil War Charlotte. 
This downtown museum takes you through the history of Charlotte, explaining why all the roads are so confusing, why Charlotte is such a financial city, and how the Civil Rights movement transformed Charlotte as a city. 
Charlotte's history isn't all roses and BBQ. There were some dark days in Charlotte's past. The KKK, poverty and racism kept a large segment of the state down. But FDR came and visited Charlotte, and the city became a boom town, for cotton and culture. Later, banks moved in, and has turned this city into one of the largest financial cities in the country! 
The exhibits are well done and interesting. My favorite part was how they leave out Post-It notes for visitors to comment on what they've just seen. Some of the comments were rather critical, on how the museum got certain things wrong, or were still showing some racist ignorance in their displays. For instance, they had a bit on how blacks couldn't vote just after the Civil War, and someone put a note up pointing out that women couldn't vote at that time either. 
The gift shop was nice, but a bit on the random side. I guess there was some stuff having to do with Charlotte, but they didn't seem to have anything too cool, other than North Carolina wines. 
Near the entrance is an information kiosk, where you can pick up all the latest brochures, magazines, literature- anything you need to know what's going on in and around Charlotte. 
Parking was easy - the museum validated parking at the garage next door."
13072,"The bar itself is good and the servers do a great job but man do the patrons suck! I went once and some guy decided to ""make it rain"" and started flipping out because dudes were picking up the money. If you're dumb enough to throw a pile of money in to the air you better bet your ass that us broke college kids are going to pick it up! It's also predominantly African American (or at least it was when I went) which is totally fine but some of them looked like gang members. I'm sure I'll get called racist for that but it's the honest truth. I also saw a lot of people getting upset over the dumbest stuff...like getting their shoes stepped on, while standing in the middle of the dance floor! I will say they had a great deal on drinks when I went! $1 for anything!"
15164,"Granted I haven't been in since my ""experience"" I really don't have a desire to go back.

The night my friend and I decided to give it a whirl.. well, we drove up and the parking lot was full of Cadillacs and Buicks. Should have been a sign but we pulled up in the van and parked. 
There was a very large, foreboding looking guy hanging out at the front door. Hmmm.. We walked up and he looked at us like, what are these two white girls doing here? We were wondering why until we stepped inside and every african american person in the building (which was all of them), swung around to look at us. It was, seriously, just like the old Westerns where the cowboy walks into the saloon and all of the crooks and criminals look up with daggers in their eyes. 
We stood there, for a hot second, a guy started hitting on my friend so I pulled on her shirt sleeve and we literally backed out of there.
I could feel people staring at the backs of our heads as we left.

Hmm.. maybe we were there on the wrong night.



**For the record, because I'm sure someone will get offended... I am in no way racist and I would have LOVED to stay and party with everyone. The only reason we left was because we felt entirely, completely unwelcome."
15845,"I like this YMCA , it's the only y in Charlotte that has a jacuzzi , the set up is super cool. But my issue is . It's a bit racist if your black they think your sneaking in trying to steal stuff . I had a woman tell me I look like a thief I can't come in this way to go to the locker room. If you do not come in there dress like a business savvy person , the red button goes up. Second mainly the woman that's been coming for a long time walk around butt naked , it's so disgusting they get in the jacuzzi necked and shave there private areas in front of ppl. It's just to much . My husband says the men do it to. And they would have a towel around there neck while they are talking to you. The staff doesn't do anything about it , cause they say they been here for a long time and they do not want to upset them."
18984,"Beware!! They didn't even deserve a one star.
 This company and leasing managers are racist and treat people like they are nothing. All they want is you to sign on the dotted line and they got you! The 1 bedroom apartment we rented was a fucking DUMP when we moved in. The ceiling fan was ready to fall on our heads, there was black all over the a/c vents and the shelves in the closet were literally falling off the wall and the carpet had huge nasty stains everywhere. We were told our place was clean and ready to move in. 
I have a medical condition called Cystic Fibrosis, I am on a lot of medication and my meds get delivered by UPS or FedEx to the front office. After the third box of my meds arrived, in about a weeks time, the leasing staff labeled me as being contagious and treated me like dirt. 
After being there for two months, my doctor at MUSC in Charleston told me I have to live close to the hospital in order to get proper treatment and be able to go into the hospital when I am sick. We gave a written notice to the leasing manager and a doctors letter. The manager said, oh that's fine don't worry about it feel better (in her fake voice). Now, two years later I see they have put me on collection for $2000. 
No way will they get away with this. Do not rent from these Losers! How do they sleep at night"
19731,"I did not set out to write a bad review.  I have great respect for a small business trying to make their way in the world.  PLEASE READ THIS ENTIRE POSTING

Positive:

Food:  The food was on par with a decent meal at a regular restaurant.

Service:  Initially good

Negative:

Price: Double the price of a meal of this style and type.  I did use the yelp coupon and only paid what the meal was actually worth.  It was not worth the original 18 dollars charged.

Coupon:  The establishment tried to tell me that the coupon was not good but they would accept it anyways.  This is after I asked when I first got to the restaurant.  Even if the coupon was not being used any more, yelp guarantees it for 1 year.

Atmosphere:  As usual this restaurant is empty, however on a Friday night we were there when they were setting up for an event on Saturday.  Evidently someone rented out the building for the next day.  They were playing really explicit rap videos on the projector while I had a 7 year old and 1 year old at the restaurant with me.  Not the Establishment per say, but the people setting up for the next day. 

Bathrooms:  Looked like they were under construction of some sort

Waitress:  Our food was served with rice and meat.  We asked if they had any sauces for the rice, the answer was no.  We asked for mayonnaise, the answer this time was that all the people that eat at this restaurant don't ask for things because there is spices (saffron) already in the rice. (as my wife always uses saffron, the amount of saffron was not worth mentioning) I would completely understand this if there were people in the restaurant  eating but it would seem that the one or two customers they get are for the Hookahs.  This means, maybe they should be open to change instead of telling me what the other people who aren't there eat.

Extra charges:  The food came with bread butter and feta cheese.  They asked if we want some more bread and we said yes.  They charged us on the bill an additional 4 dollars without telling us.

Kids menu:  None:  They said there is so much food, that kids eat from their parents.  However, if i let my 7 year old do this, I would not have any food for myself.

Air conditioning;  The air was shut off allowing the entire place to be filled with the smoke from the Hookahs.  However, when we were there no one showed up and no one was smoking a hookah until we left.

Note to other people posting reviews:  Please do not post racist comments about restaurants or cultures you do not know or understand.  After seeing the other comments which seemed racist, I did give the restaurant a try.  There are many restaurants in town that serve this kind of food with better reviews, and they are no different than anyone else.

Note to the owner:  If your restaurant improves these items listed, I would be happy to retract my review, but I would recommend lowering prices. People in Charlotte expect more if you are charging them that amount.  Please don't have your waitress tell me what other people eat there when you have no customers."
